2026-07-29T17:10:24 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:27 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:29 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:31 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:33 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:35 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:37 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:39 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:41 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:43 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:45 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:47 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:49 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:51 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V2/Cruise/StepUp", "path": "/V2/Cruise/StepUp", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:53 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://centinelapi.cardinalcommerce.com/V1/Cruise/TermRedirection", "path": "/V1/Cruise/TermRedirection", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:54 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=userQuery status=200
2026-07-29T17:10:54 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=LayoutBannersQuery status=200
2026-07-29T17:10:54 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=LayoutMobileQuery status=200
2026-07-29T17:10:55 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useRecordSardineSessionIdMutation status=200
2026-07-29T17:10:55 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=LayoutBannersQuery status=200
2026-07-29T17:10:55 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=LayoutMobileQuery status=200
2026-07-29T17:10:56 | INFO     | coinbase_webkit:001:98957de7 | iOS-DOM probe: {"url": "https://www.coinbase.com/home", "path": "/home", "readyGate": false, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T17:10:56 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=HomeQuery status=200
2026-07-29T17:10:56 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=ConfirmBuyStepQuery status=200
2026-07-29T17:10:56 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useCurrencyConverterQuery status=200
2026-07-29T17:10:57 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=BuyConfirmationScreenQuery status=200
2026-07-29T17:10:57 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useNotificationTriggerEventMutation status=200
2026-07-29T17:10:57 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useTransactionStatusTransferBuyQuery status=200
2026-07-29T17:10:57 | WARNING  | coinbase_webkit:001:98957de7 | GraphQL captured op=useCurrencyConverterQuery status=200
