2026-07-29T19:07:05 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useCurrencyConverterQuery status=200
2026-07-29T19:07:05 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=TravelRulePrefillQuery status=200
2026-07-29T19:07:05 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:05 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SystemAlertWithWaterfallQuery status=200
2026-07-29T19:07:07 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:09 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:09 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useCreateSendV2Mutation status=200
2026-07-29T19:07:11 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:13 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:15 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:17 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useCreateSendV2Mutation status=200
2026-07-29T19:07:18 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:20 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:22 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:24 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:25 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useCreateSendV2Mutation status=200
2026-07-29T19:07:25 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SendAIBUpsellQuery status=200
2026-07-29T19:07:25 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=SendPreviewQuery status=200
2026-07-29T19:07:26 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:28 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useCommitSendMutation status=200
2026-07-29T19:07:28 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:29 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=useGetTravelRuleDataQuery status=200
2026-07-29T19:07:30 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:30 | WARNING  | coinbase_webkit:001:d9d96c27 | GraphQL captured op=TransferDetailsV2AssetIconQuery status=200
2026-07-29T19:07:32 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:35 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:37 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:39 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:41 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:43 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:45 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:47 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:49 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:52 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:54 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:56 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:07:58 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:08:00 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:08:02 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:08:05 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:08:07 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:08:09 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:08:11 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:08:13 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:08:15 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:08:17 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:08:20 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
2026-07-29T19:08:22 | INFO     | coinbase_webkit:001:d9d96c27 | iOS-DOM probe: {"url": "https://www.coinbase.com/transactions", "path": "/transactions", "readyGate": true, "captchaVisible": false, "cryptoRows": 0, "cashRows": 0, "firstCryptoSpans": null}
